"id";"ssflag";"pagenumberinocrdocument";"authorfirstname";"authorlastname";"title";"firsteditionpublisher";"firsteditionpublicationplace";"firsteditionpublicationyear";"secondeditionpublisher";"secondeditionpublicationplace";"secondeditionpublicationyear";"additionalinfos";"ocrresult"
"73976";"1";"75";"Michail";"Kolzow";"Der Mann im Soldatenmantel";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1933";"";"";"";"";"Kolzow, Michail: Der Mann im Soldatenmantel. Moskau: Verlagsgen. ausländ. Arbeiter 1933."
"73977";"1";"75";"A. de";"Kom";"Wir Sklaven von Surinam";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1935";"";"";"";"";"Kom, A. de: Wir Sklaven von Surinam. Moskau: Verlagsgen. ausländ. Arbeiter 1935."
"73978";"1";"75";"";"";"Komintern, Die ~ und die werktätige Frau";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1935";"";"";"";"";"Komintern, Die ~ und die werktätige Frau. Moskau: Verlagsgen. ausländ. Arbeiter 1935."
"73979";"1";"75";"Felix";"Kon";"In den Klauen der Polizei";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1935";"";"";"";"";"Kon, Felix: In den Klauen der Polizei. Moskau: Verlagsgen. ausländ. Arbeiter 1935."
"73980";"2";"75";"";"Kondor";"Gelb-Weiss";"Weicher";"Leipzig";"1932";"";"";"";"";"Kondor: Gelb-Weiss. Leipzig: Weicher 1932."
"73981";"2";"75";"Kaete";"Kongsback";"Von Dir — und den andern mehr. Zirkus der Geschlechter";"Göpner";"Hamburg";"1928";"";"";"";"";"Kongsback, Kaete: Von Dir — und den andern mehr. Zirkus der Geschlechter. Hamburg: Göpner 1928."
"73982";"2";"75";"";"Konradin";"Ein Jünger Platos";"Spohr";"Leipzig";"1914";"";"";"";"";"Konradin: Ein Jünger Platos. Leipzig: Spohr 1914."
"73983";"2";"75";"";"";"Konzip-Ehekalender. Judendorf b";"Konzip-Beratungsstelle";"Graz";"1932";"";"";"";"";"Konzip-Ehekalender. Judendorf b. Graz: Konzip-Beratungsstelle 1932."
"73984";"1";"75";"Ernst";"Kopp";"Die Pflicht des Intelektuellen";"Oprecht & Helbling";"Zürich";"1933";"";"";"";"";"Kopp, Ernst: Die Pflicht des Intelektuellen. Zürich: Oprecht & Helbling 1933."
"73985";"2";"75";"D. K.";"Korell";"Pädagogische Irrwege oder Sadismus?";"Bermühler";"Berlin";"1904";"";"";"";"";"Korell, D. K.: Pädagogische Irrwege oder Sadismus? Berlin: Bermühler 1904."
"73986";"2";"75";"Hans";"Koren";"Volkskunde als gläubige Wissenschaft";"Pustet";"Salzburg";"1936";"";"";"";"";"Koren, Hans: Volkskunde als gläubige Wissenschaft. Salzburg: Pustet 1936."
"73987";"2";"75";"Karl";"Korn";"Die Arbeiterjugendbewegung";"Arbeiterjugendverl.";"Berlin";"1924";"";"";"";"";"Korn, Karl: Die Arbeiterjugendbewegung. Berlin: Arbeiterjugendverl. 1924."
"73988";"2";"77";"Karl";"Kraus";"Sämtliche Schriften";"";"";"";"";"";"";"";"Kraus, Karl: Sämtliche Schriften."
"73989";"2";"77";"Meta";"Kraus-Fessel";"Polizei-Terror gegen Kind und Kunst";"Mopr-Verl.";"Berlin";"1927";"";"";"";"";"Kraus-Fessel, Meta: Polizei-Terror gegen Kind und Kunst. Berlin: Mopr-Verl. 1927."
"73990";"2";"77";"Gerda";"Krause";"Frenzel-Akten";"Witte";"Hannover";"1931";"";"";"";"";"Krause, Gerda: Frenzel-Akten. Hannover: Witte 1931."
"73991";"2";"77";"Friedrich Salomo";"Krauss";"Streifzüge im Reich der Frauenschönheit";"Schumann";"Leipzig";"1903";"Kosmos";"Wien";"1924";"";"Krauss, Friedrich Salomo: Streifzüge im Reich der Frauenschönheit. Leipzig: Schumann 1903. — Wien: Kosmos 1924."
