"id";"ssflag";"pagenumberinocrdocument";"authorfirstname";"authorlastname";"title";"firsteditionpublisher";"firsteditionpublicationplace";"firsteditionpublicationyear";"secondeditionpublisher";"secondeditionpublicationplace";"secondeditionpublicationyear";"additionalinfos";"ocrresult"
"70843";"2";"24";"Georg";"Decker";"Sämtliche Schriften";"";"";"";"";"";"";"";"Decker, Georg: Sämtliche Schriften."
"70844";"1";"24";"W.";"Degtjarjew";"Der Weg des Sowjetseemanns zum Sozialismus";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1932";"";"";"";"";"Degtjarjew, W.: Der Weg des Sowjetseemanns zum Sozialismus. Moskau: Verlagsgen. ausländ. Arbeiter 1932."
"70845";"2";"24";"Heinrich";"Dehmel";"Revolution der Ehe";"Greifenverl.";"Rudolstadt";"1929";"";"";"";"";"Dehmel, Heinrich: Revolution der Ehe. Rudolstadt: Greifenverl. 1929."
"70846";"2";"24";"Heinrich";"Dehmel";"Seminar für Liebesprobleme";"Hensel";"Berlin";"1927";"";"";"";"";"Dehmel, Heinrich: Seminar für Liebesprobleme. Berlin: Hensel 1927."
"70847";"2";"24";"Richard";"Dehmel";"Zwischen Volk u. Menschheit";"S. Fischer";"Berlin";"1919";"";"";"";"";"Dehmel, Richard: Zwischen Volk u. Menschheit. Berlin: S. Fischer 1919."
"70848";"2";"24";"Günther";"Dehn";"Proletarische Jugend";"Furche-Verl.";"Berlin";"1933";"";"";"";"";"Dehn, Günther: Proletarische Jugend. Berlin: Furche-Verl. 1933."
"70849";"2";"24";"Berthold von";"Deimling";"Aus der alten in die neue Zeit";"Ullstein";"Berlin";"1930";"";"";"";"";"Deimling, Berthold von: Aus der alten in die neue Zeit. Berlin: Ullstein 1930."
"70850";"2";"24";"Maurice";"Dekobra";"Sämtliche Schriften";"";"";"";"";"";"";"";"Dekobra, Maurice: Sämtliche Schriften."
"70851";"1";"24";"Hendrik";"De Leeuw";"Sinful cities of the western world";"Messner";"New York";"1934";"";"";"";"";"De Leeuw, Hendrik: Sinful cities of the western world. New York: Messner 1934."
"70852";"2";"24";"Friedrich";"Delekat";"Herr, was sollen wir tun?";"Lichtweg-Verl.";"Essen";"1935";"";"";"";"";"Delekat, Friedrich: Herr, was sollen wir tun? Essen: Lichtweg-Verl. 1935."
"70853";"2";"24";"Maximilian";"Delmar";"Französische Frauen";"Guenther";"Freiburg";"1925";"";"";"";"";"Delmar, Maximilian: Französische Frauen. Freiburg: Guenther 1925."
"70854";"2";"24";"Joseph";"Delmont";"Juden in Ketten";"Grunow";"Leipzig";"1929";"";"";"";"";"Delmont, Joseph: Juden in Ketten. Leipzig: Grunow 1929."
"70855";"2";"24";"Joseph";"Delmont";"Die Stadt unter dem Meere";"Grunow";"Leipzig";"1925";"";"";"";"";"Delmont, Joseph: Die Stadt unter dem Meere. Leipzig: Grunow 1925."
"70856";"2";"24";"Joseph";"Delmont";"Krösus Vagabund";"Grunow";"Leipzig";"1929";"";"";"";"";"Delmont, Joseph: Krösus Vagabund. Leipzig: Grunow 1929."
"70857";"2";"0";"Henri";"Demont";"Zur Unterdrückung des Verbrechens Krieg";"Bund zur Unterdrückung des Verbrechens Krieg";"Dresden";"1928";"Bund zur Unterdrückung des Verbrechens Krieg";"Paris";"1932";"";"+ Demont, Henri: Zur Unterdrückung des Verbrechens Krieg. Dresden: Bund zur Unterdrückung des Verbrechens Krieg 1928. — Paris: Bund ... 1932."
"70858";"2";"24";"Robert";"Dencker";"Das Kind und die geschlechtliche Entwicklung";"Spohr";"Leipzig";"1898";"";"";"";"";"Dencker, Robert: Das Kind und die geschlechtliche Entwicklung. Leipzig: Spohr 1898."
"70859";"2";"24";"";"Deng-Bao-Sjang";"Das blutende China";"Mopr-Verl.";"Berlin";"1928";"";"";"";"";"Deng-Bao-Sjang: Das blutende China. Berlin: Mopr-Verl. 1928."
"70860";"2";"0";"";"";"Denkschrift des Reichsjustizministers zu »4 Jahre politischer Mord«";"Malik-Verl.";"Berlin";"1924";"";"";"";"";"Denkschrift des Reichsjustizministers zu »4 Jahre politischer Mord« Berlin: Malik-Verl. 1924."
"70861";"2";"0";"";"";"Denkwürdigkeiten des Herrn von H. Galantpikante Enthüllungen";"Moderner freier Verl.";"Paris-Wien";"1910";"";"";"";"";"+ Denkwürdigkeiten des Herrn von H. Galantpikante Enthüllungen ... Paris-Wien: Moderner freier Verl. 1910."
"70862";"2";"24";"Adolf";"Dessauer";"Grosstadtjuden";"Braumüller";"Wien";"1910";"";"";"";"";"Dessauer, Adolf: Grosstadtjuden. Wien: Braumüller 1910."
"70863";"2";"24";"";"Dessauer, Friedrich, u. Franz C. Fetzer";"Krisenwende";"Carolus-Druckerei";"Frankfurt a.M.";"1932";"";"";"";"";"Dessauer, Friedrich, u. Franz C. Fetzer: Krisenwende. Frankfurt a/M.: Carolus-Druckerei 1932."
"70864";"2";"24";"Louis";"Destouches";"Reise ans Ende der Nacht";"Kittl";"M.-Ostrau";"1933";"";"";"";"";"Destouches, Louis: Reise ans Ende der Nacht. M.-Ostrau: Kittl 1933."
"70865";"2";"24";"Louis";"Destouches";"Tod auf Borg";"Kittl";"M.-Ostrau";"1937";"";"";"";"";"Destouches, Louis: Tod auf Borg. M.-Ostrau: Kittl 1937."
"70866";"2";"24";"Rolf";"Detert-Faust";"Das goldene Buch der Frau";"Faust-Verl.";"Nürnberg";"1936";"";"";"";"";"Detert-Faust, Rolf: Das goldene Buch der Frau. Nürnberg: Faust-Verl. 1936."
"70867";"2";"24";"Rolf";"Detert-Faust";"300 bewährte wirksame Mittel für die Gesundheit gegen Erkrankung";"Faust-Verl.";"Nürnberg";"1936";"";"";"";"";"Detert-Faust, Rolf: 300 bewährte wirksame Mittel für die Gesundheit gegen Erkrankung. Nürnberg: Faust-Verl. 1936."
"70868";"2";"24";"Fritz";"Deubner";"Erntedank";"Neuer Berliner Buchvertrieb";"Berlin";"1935";"";"";"";"";"Deubner, Fritz: Erntedank. Berlin: Neuer Berliner Buchvertrieb 1935."
"70869";"2";"24";"";"Deuter";"Das sexuelle Wahlrecht der Frau im biblischen Lichte";"Verl. d. Schönheit";"Dresden";"1930";"";"";"";"";"Deuter: Das sexuelle Wahlrecht der Frau im biblischen Lichte. Dresden: Verl. d. Schönheit 1930."
"70870";"2";"26";"Manfred";"Diemer";"Die Überraschung Europas. 1931—1936";"Uranus-Verl.";"Hamburg";"1930";"";"";"";"";"Diemer, Manfred: Die Überraschung Europas. 1931—1936. Hamburg: Uranus-Verl. 1930."
"70871";"2";"26";"Christoff";"Dietrich";"Die Ausstrahlungen des Menschen im Lichte neuer Forschungen";"Marby-Verl.";"Stuttgart";"1935";"";"";"";"";"Dietrich, Christoff: Die Ausstrahlungen des Menschen im Lichte neuer Forschungen. Stuttgart: Marby-Verl. 1935."
"70872";"2";"26";"Christoff";"Dietrich";"Erweckung von Lebensfreude";"Marby-Verl.";"Stuttgart";"1936";"";"";"";"";"Dietrich, Christoff: Erweckung von Lebensfreude. Stuttgart: Marby-Verl. 1936."
"70873";"2";"26";"Paul Johann";"Dietrich";"Der Diener Fritz";"Danner";"Mühlhausen";"1931";"";"";"";"";"Dietrich, Paul Johann: Der Diener Fritz. Mühlhausen: Danner 1931."
"70874";"2";"26";"Paul Johann";"Dietrich";"Eine verschnupfte Instruktionsstunde";"Danner";"Mühlhausen";"1935";"";"";"";"";"Dietrich, Paul Johann: Eine verschnupfte Instruktionsstunde. Mühlhausen: Danner 1935."
"70875";"2";"26";"Paul Johann";"Dietrich";"Wenn die Soldaten";"Danner";"Mühlhausen";"1928";"";"";"";"";"Dietrich, Paul Johann: Wenn die Soldaten. Mühlhausen: Danner 1928."
"70876";"1";"26";"P. R.";"Dietrich";"Zwangsarbeit in der Sowjetunion";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1931";"";"";"";"";"Dietrich, P. R.: Zwangsarbeit in der Sowjetunion. Moskau: Verlagsgen. ausländ. Arbeiter 1931."
"70877";"1";"26";"Marigret";"Dietz";"Lydia lernt leben";"Erasmus-Stiftung";"Haag";"1937";"";"";"";"";"Dietz, Marigret: Lydia lernt leben. Haag: Erasmus-Stiftung 1937."
"70878";"2";"26";"Josef";"Dietzgen";"Sämtliche Schriften";"";"";"";"";"";"";"";"Dietzgen, Josef: Sämtliche Schriften."
"70879";"2";"26";"Karl";"Diez";"Die Lebensgeschichte eines Menschen";"Oberbad. Verl.Anst.";"Konstanz";"1929";"";"";"";"";"Diez, Karl: Die Lebensgeschichte eines Menschen. Konstanz: Oberbad. Verl.Anst. 1929."
"70880";"2";"26";"Heinrich Georg";"Dikreiter";"Vom Waisenhaus zur Fabrik";"Vorwärts";"Berlin";"1914";"";"";"";"";"Dikreiter, Heinrich Georg: Vom Waisenhaus zur Fabrik. Berlin: Vorwärts 1914."
"70881";"2";"26";"";"";"Dillinger, Banditenkönig John ~, die Bestie in Menschengestalt";"P. Fries";"Köln";"1934";"";"";"";"";"Dillinger, Banditenkönig John ~, die Bestie in Menschengestalt. Köln: P. Fries 1934."
"70882";"1";"26";"Georgi";"Dimitroff";"Eine Flamme in der Nacht";"Mopr-Verl.";"Zürich-Paris";"1933";"";"";"";"";"Dimitroff, Georgi ~. Eine Flamme in der Nacht. Zürich-Paris: Mopr-Verl. 1933."
"70883";"2";"26";"Georgi";"Dimitroff";"Sämtliche Schriften";"";"";"";"";"";"";"";"Dimitroff, Georgi: Sämtliche Schriften."
"70884";"2";"26";"Paul";"Diner-Dénes";"Gegen das Hitlerregime und seine Greueltaten";"Solidarität";"Prag";"1933";"";"";"";"";"Diner-Dénes, Paul: Gegen das Hitlerregime und seine Greueltaten. Prag: Solidarität 1933."
"70885";"2";"26";"Tibor";"Diószeghy";"Sämtliche Schriften. Diotima: Schule der Liebe";"Diederichs";"Jena";"1930";"";"";"";"";"Diószeghy, Tibor: Sämtliche Schriften. Diotima: Schule der Liebe. Jena: Diederichs 1930."
"70886";"2";"26";"Wilhelm";"Dittmann";"Die Marine-Justizmorde von 1917 u. die Admiralitäts-Rebellion von 1918";"Dietz";"Berlin";"1926";"";"";"";"";"Dittmann, Wilhelm: Die Marine-Justizmorde von 1917 u. die Admiralitäts-Rebellion von 1918. Berlin: Dietz 1926."
"70887";"2";"26";"Otto";"Dix";"Der Krieg";"Nierendorf";"Berlin";"1924";"";"";"";"";"Dix, Otto: Der Krieg. Berlin: Nierendorf 1924."
"70888";"1";"26";"";"";"Dnjeprogres in Betrieb";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1933";"";"";"";"";"Dnjeprogres in Betrieb. Moskau: Verlagsgen. ausländ. Arbeiter 1933."
"70889";"2";"26";"Kurt";"Doberer";"Sämtliche Schriften";"";"";"";"";"";"";"";"Doberer, Kurt: Sämtliche Schriften."
"70890";"2";"26";"Eitel Wolf";"Dobert";"Sämtliche Schriften";"";"";"";"";"";"";"";"Dobert, Eitel Wolf: Sämtliche Schriften."
"70891";"1";"26";"";"";"Doctrine, La nouvelle ~ de guerre allemande";"Berger-Levrault";"Paris";"1934";"";"";"";"";"Doctrine, La nouvelle ~ de guerre allemande. Paris: Berger-Levrault 1934."
"70892";"2";"26";"Arnold";"Dodel";"Sämtliche Schriften";"";"";"";"";"";"";"";"Dodel, Arnold: Sämtliche Schriften."
"70893";"2";"26";"Alfred";"Doeblin";"Sämtliche Schriften";"";"";"";"";"";"";"";"Doeblin (Döblin), Alfred: Sämtliche Schriften."
"70894";"2";"26";"Emma";"Doeltz";"Der Streikbrecher";"Hoffmann";"Berlin";"1929";"";"";"";"";"Doeltz, Emma: Der Streikbrecher. Berlin: Hoffmann 1929."
"70895";"2";"26";"Emil";"Doenges";"Die Judenfrage";"Doenges";"Dillenburg";"1929";"";"";"";"";"Doenges, Emil: Die Judenfrage. Dillenburg: Doenges 1929."
"70896";"2";"26";"Emil";"Doenges";"Was bald geschehen muss";"Doenges";"Dillenburg";"1921";"";"";"";"";"Doenges, Emil: Was bald geschehen muss. Dillenburg: Doenges 1921."
"70897";"2";"26";"Rudolf";"Doerfler";"Ist Henlein der Retter?";"Pilz";"Ober-Maxdorf";"1934";"";"";"";"";"Doerfler, Rudolf: Ist Henlein der Retter? Ober-Maxdorf: Pilz 1934."
"70898";"2";"26";"Waldemar Oskar";"Doering";"Psychoanalyse u. Individualpsychologie";"Coleman";"Lübeck";"1928";"";"";"";"";"Doering, Waldemar Oskar: Psychoanalyse u. Individualpsychologie. Lübeck: Coleman 1928."
"70899";"2";"28";"";"Dreyfus, Paul, u. Paul Mayer";"Recht u. Politik im Fall Fechenbach";"Rowohlt";"Berlin";"1925";"";"";"";"";"Dreyfus, Paul, u. Paul Mayer: Recht u. Politik im Fall Fechenbach. Berlin: Rowohlt 1925."
"70900";"2";"28";"Winfried";"Droehner";"Röhm u. Genossen";"Dt.Hort-Verl.";"Herrsching";"1934";"";"";"";"";"Droehner, Winfried: Röhm u. Genossen. Herrsching: Dt.Hort-Verl. 1934."
"70901";"1";"28";"W.";"Druschinin";"Wie der Arbeiter in der Sowjetunion Ingenieur wird";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1931";"";"";"";"";"Druschinin, W.: Wie der Arbeiter in der Sowjetunion Ingenieur wird. Moskau: Verlagsgen. ausländ. Arbeiter 1931."
"70902";"1";"28";"Ernst von";"Duering";"Sexualpädagogik";"Rotapfel-Verl.";"Zürich";"1931";"";"";"";"";"Duering, Ernst von: Sexualpädagogik. Zürich: Rotapfel-Verl. 1931."
"70903";"2";"28";"";"Duewell Wilhelm";"Kriegsberichte aus Ostpreussen u. Russland";"Vorwärts";"Berlin";"1914";"";"";"";"";"Duewell Wilhelm: Kriegsberichte aus Ostpreussen u. Russland. Berlin: Vorwärts 1914."
"70904";"2";"28";"Charles";"Duff";"Henkerfibel";"Schultz";"Berlin";"1931";"";"";"";"";"Duff, Charles: Henkerfibel. Berlin: Schultz 1931."
"70905";"1";"28";"Georges";"Duhamel";"Das neue Moskau";"Rotapfel-Verl.";"Zürich";"1928";"";"";"";"";"Duhamel, Georges: Das neue Moskau. Zürich: Rotapfel-Verl. 1928."
"70906";"1";"28";"";"";"Duitschland het land der Olympische spelen";"L. J. Joachimsthal";"Amsterdam";"1935";"";"";"";"";"Duitschland het land der Olympische spelen? Amsterdam: L. J. Joachimsthal 1935."
"70907";"2";"28";"Hermann";"Duncker";"Ein Wegweiser zum Studium der ökonomischen Grundlehren von Karl Marx";"Internat. Arbeiter-Verl.";"Berlin";"1931";"";"";"";"";"Duncker, Hermann: Ein Wegweiser zum Studium der ökonomischen Grundlehren von Karl Marx. Berlin: Internat. Arbeiter-Verl. 1931."
"70908";"2";"28";"";"Duncker, Hermann, Alfons Goldschmidt, Karl August Wittfogel";"Marxistische Arbeiterschulung";"Verl. f. Lit. u. Politik";"Wien";"1930";"";"";"";"";"Duncker, Hermann, Alfons Goldschmidt, Karl August Wittfogel: Marxistische Arbeiterschulung. Wien: Verl. f. Lit. u. Politik 1930."
"70909";"2";"28";"Fritz";"Dupré";"Über die Herren Aufartler und andere Hemmschuhe der menschlichen Hochzüchtung";"Hammer-Verl.";"Leipzig";"1931";"";"";"";"";"Dupré, Fritz: Über die Herren Aufartler und andere Hemmschuhe der menschlichen Hochzüchtung. Leipzig: Hammer-Verl. 1931."
"70910";"2";"28";"Fritz";"Dupré";"Weltanschauung und Menschenzüchtung";"Selbstverl.";"Berlin";"1926";"";"";"";"";"Dupré, Fritz: Weltanschauung und Menschenzüchtung. Berlin: Selbstverl. 1926."
"70911";"2";"28";"Louis";"Dupré d'Aulnay";"Die Abenteuer des falschen Chevalier von Warwick";"Georg Müller";"München";"1921";"";"";"";"";"Dupré d'Aulnay, Louis: Die Abenteuer des falschen Chevalier von Warwick. München: Georg Müller 1921."
"70912";"2";"28";"";"Durand-Wever, Anne-Marie";"Rassenhygiene. Sterilisation u. Nachkommenschaftsbeschränkung. Berlin: Antäus-Verl. 1933. 1. Aufl. u. d";"Verhütung der Schwangerschaft";"T.";"";"";"";"";"";"Durand-Wever, Anne-Marie: Rassenhygiene. Sterilisation u. Nachkommenschaftsbeschränkung. Berlin: Antäus-Verl. 1933. 1. Aufl. u. d. T.: Verhütung der Schwangerschaft."
"70913";"1";"28";"";"";"Durango, Stadt des Leidens";"Ed. du Carrefour";"Paris";"1937";"";"";"";"";"Durango, Stadt des Leidens. Paris: Ed. du Carrefour 1937."
"70914";"1";"0";"";"";"Durch Paulus von Gudrun zum Gretchen. (1. Ludendorff, Erich: Der Jude Paulus u. die Frau. — 2. Kurth, Hans: Von der Gudrun zum Gretchen.) M";"Ludendorff-Verl.";"München";"1932";"";"";"";"";"Durch Paulus von Gudrun zum Gretchen. (1. Ludendorff, Erich: Der Jude Paulus u. die Frau. — 2. Kurth, Hans: Von der Gudrun zum Gretchen.) München: Ludendorff-Verl. 1932."
"70915";"1";"28";"Willi";"Duwe";"Deutsche Dichtung des 20. Jahrhunderts";"Orell Füssli";"Zürich";"1926";"";"";"";"";"Duwe, Willi: Deutsche Dichtung des 20. Jahrhunderts. Zürich: Orell Füssli 1926."
"70916";"2";"28";"Paul";"Duysen";"Blutschande";"Hanf";"Hamburg";"1921";"";"";"";"";"Duysen, Paul: Blutschande. Hamburg: Hanf 1921."
"70917";"2";"28";"P. E.";"Dybenko";"Die Rebellen";"Hoym";"Hamburg";"1923";"";"";"";"";"Dybenko, P. E.: Die Rebellen. Hamburg: Hoym 1923."
"70918";"1";"28";"E. N.";"Dzelepy";"Le vrai combat d'Hitler";"Lucien Vogel";"Paris";"1936";"";"";"";"";"Dzelepy, E. N.: Le vrai combat d'Hitler. Paris: Lucien Vogel 1936."
"70919";"2";"28";"Walter";"Eberding";"Unser Körper gehört uns";"Selbstverl.";"Kiel";"1931";"";"";"";"";"Eberding, Walter: Unser Körper gehört uns. Kiel: Selbstverl. 1931."
"70920";"2";"28";"Erich";"Ebermayer";"Dr. Angelo";"Oldenburg";"Leipzig";"1924";"";"";"";"";"Ebermayer, Erich: Dr. Angelo. Leipzig: Oldenburg 1924."
"70921";"2";"28";"Erich";"Ebermayer";"Kampf um Odilienberg";"Zsolnay";"Wien";"1929";"";"";"";"";"Ebermayer, Erich: Kampf um Odilienberg. Wien: Zsolnay 1929."
"70922";"2";"28";"Erich";"Ebermayer";"Die grosse Kluft";"Zsolnay";"Wien";"1931";"";"";"";"";"Ebermayer, Erich: Die grosse Kluft. Wien: Zsolnay 1931."
"70923";"2";"28";"Erich";"Ebermayer";"Nacht in Warschau";"Reclam";"Leipzig";"1929";"";"";"";"";"Ebermayer, Erich: Nacht in Warschau. Leipzig: Reclam 1929."
"70924";"2";"28";"Erich";"Ebermayer";"Das Tier";"Spaeth";"Berlin";"1928";"";"";"";"";"Ebermayer, Erich: Das Tier. Berlin: Spaeth 1928."
"70925";"2";"28";"";"Ebermayer, Erich, Klaus Mann u. H. Rosenkranz";"Anthologie jüngster Prosa";"Spaeth";"Berlin";"1928";"";"";"";"";"Ebermayer, Erich, Klaus Mann u. H. Rosenkranz: Anthologie jüngster Prosa. Berlin: Spaeth 1928."
"70926";"2";"0";"Christian Fr. R";"Ehlers";"Entdeckung der wahren Organtätigkeit";"Mediz. Forschungs-Verl.";"Rostock";"1932/34";"";"";"";"";"Ehlers, Christian Fr. R.: Entdeckung der wahren Organtätigkeit ... Rostock: Med. Forschungs-Verl. 1932/34."
"70927";"2";"30";"Hans";"Ehrenberg";"Deutschland im Schmelzofen";"Furche-Verl.";"Berlin";"1932";"";"";"";"";"Ehrenberg, Hans: Deutschland im Schmelzofen. Berlin: Furche-Verl. 1932."
"70928";"2";"30";"";"";"Ehrenchronik. Hrsg. v. Wilh. Oswald";"Bohnenberger";"Stuttgart";"1937";"";"";"";"";"Ehrenchronik. Hrsg. v. Wilh. Oswald. Stuttgart: Bohnenberger 1937."
"70929";"2";"30";"Elfriede";"Ehrenreich";"Lehrbuch der Schönheitspflege auf wissenschaftlicher Grundlage";"Klett";"Berlin";"1935";"";"";"";"";"Ehrenreich, Elfriede: Lehrbuch der Schönheitspflege auf wissenschaftlicher Grundlage. Berlin: Klett 1935."
"70930";"2";"30";"Albert";"Ehrenstein";"Sämtliche Schriften";"";"";"";"";"";"";"";"Ehrenstein, Albert: Sämtliche Schriften."
"70931";"2";"30";"Karl";"Ehrenstein";"Bitte um Liebe";"Rowohlt";"Berlin";"1921";"";"";"";"";"Ehrenstein, Karl: Bitte um Liebe. Berlin: Rowohlt 1921."
"70932";"2";"30";"Justus";"Ehrhardt";"Sämtliche Schriften (vor 1933)";"";"";"";"";"";"";"";"Ehrhardt, Justus: Sämtliche Schriften (vor 1933)."
"70933";"1";"30";"Albert";"Ehrismann";"Schiffern und Kapitänen";"Oprecht & Helbling";"Zürich";"1932";"";"";"";"";"Ehrismann, Albert: Schiffern und Kapitänen. Zürich: Oprecht & Helbling 1932."
"70934";"1";"30";"";"Ehrlich, E., S. Abram u. Ph. Silpert";"Der Tag eines sowjetrussischen Arbeiters";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1932";"";"";"";"";"Ehrlich, E., S. Abram u. Ph. Silpert: Der Tag eines sowjetrussischen Arbeiters. Moskau: Verlagsgen. ausländ. Arbeiter 1932."
"70935";"2";"30";"Leopold";"Ehrlich-Hichler";"Geschichten aus Österreich";"Löwit";"Wien";"1938";"";"";"";"";"Ehrlich-Hichler, Leopold: Geschichten aus Österreich. Wien: Löwit 1938."
"70936";"2";"30";"Reinhold";"Eichacker";"Sämtliche Schriften";"";"";"";"";"";"";"";"Eichacker, Reinhold: Sämtliche Schriften."
"70937";"1";"30";"Claus";"Eichen";"Rassenwahn";"Ed. du Carrefour";"Paris";"1936";"";"";"";"";"Eichen, Claus: Rassenwahn. Paris: Ed. du Carrefour 1936."
"70938";"2";"30";"";"";"Eichhorn, Emil. — Emil Eichhorn über die Januarereignisse";"Freiheit";"Berlin";"1919";"";"";"";"";"Eichhorn, Emil. — Emil Eichhorn über die Januarereignisse. Berlin: Freiheit 1919."
"70939";"2";"30";"Marietta";"Eidlitz";"Die Seele des Andre Garaine";"Wolf";"Wien";"1930";"";"";"";"";"Eidlitz, Marietta: Die Seele des Andre Garaine. Wien: Wolf 1930."
"70940";"2";"0";"Helene";"Eiert";"Du sollst nicht";"Borgmeyer";"Hildesheim";"1931";"";"";"";"";"Eiert, Helene: Du sollst nicht ... Hildesheim: Borgmeyer 1931."
"70941";"2";"30";"Albert";"Einstein";"Sämtliche Schriften";"";"";"";"";"";"";"";"Einstein, Albert: Sämtliche Schriften."
"70942";"2";"30";"Karl";"Einstein";"Die schlimme Botschaft";"Rowohlt";"Berlin";"1921";"";"";"";"";"Einstein, Karl: Die schlimme Botschaft. Berlin: Rowohlt 1921."
"70943";"2";"30";"Karl";"Einstein";"Afrikanische Legenden";"Rowohlt";"Berlin";"1925";"";"";"";"";"Einstein, Karl: Afrikanische Legenden. Berlin: Rowohlt 1925."
"70944";"1";"30";"Paul";"Einzig";"Germany's default";"Macmillan";"London";"1934";"";"";"";"";"Einzig, Paul: Germany's default. London: Macmillan 1934."
"70945";"1";"30";"Paul";"Einzig";"Bloodless invasion. German States and the Balkans";"Duckworth";"London";"1938";"";"";"";"";"Einzig, Paul: Bloodless invasion. German States and the Balkans. London: Duckworth 1938."
"70946";"2";"30";"J.";"Eisenberger";"Lenin aus nächster Nähe";"»Der Kampf«";"München";"1919";"";"";"";"";"Eisenberger, J.: Lenin aus nächster Nähe. München: »Der Kampf« 1919."
"70947";"2";"30";"Götz";"Eisenhart";"Das Frauen-Evangelium";"Verl. d. Schönheit";"Dresden";"1924";"";"";"";"";"Eisenhart, Götz: Das Frauen-Evangelium. Dresden: Verl. d. Schönheit 1924."
"70948";"2";"30";"Julius";"Eisenstaedter";"Macht u. Arbeit in der europäischen Frühzeit";"Urania-Verlagsges.";"Jena";"1929";"";"";"";"";"Eisenstaedter, Julius: Macht u. Arbeit in der europäischen Frühzeit. Jena: Urania-Verlagsges. 1929."
"70949";"2";"30";"Julius";"Eisenstaedter";"Montessorisystem und proletarische Erziehung";"Oldenburg";"Leipzig";"1923";"";"";"";"";"Eisenstaedter, Julius: Montessorisystem und proletarische Erziehung. Leipzig: Oldenburg 1923."
"70950";"2";"30";"Julius";"Eisenstaedter";"Im Schweisse deines Angesichts";"Urania-Verlagsges.";"Jena";"1927";"";"";"";"";"Eisenstaedter, Julius: Im Schweisse deines Angesichts. Jena: Urania-Verlagsges. 1927."
"70951";"2";"30";"Heinz";"Eisgruber";"Völkische und deutschnationale Führer";"Oldenburg";"Leipzig";"1925";"";"";"";"";"Eisgruber, Heinz: Völkische und deutschnationale Führer. Leipzig: Oldenburg 1925."
"70952";"2";"30";"";"";"Eisner, Kurt. — Welt werde froh! Ein Kurt Eisner-Buch";"Buchmeister-Verl.";"Berlin";"1929";"";"";"";"";"Eisner, Kurt. — Welt werde froh! Ein Kurt Eisner-Buch. Berlin: Buchmeister-Verl. 1929."
"70953";"2";"30";"Kurt";"Eisner";"Sämtliche Schriften";"";"";"";"";"";"";"";"Eisner, Kurt: Sämtliche Schriften."
"70954";"2";"30";"Anne von den";"Eken";"Mannweiber — Weibmänner und der § 175";"Spohr";"Leipzig";"1906";"";"";"";"";"Eken, Anne von den: Mannweiber — Weibmänner und der § 175. Leipzig: Spohr 1906."
"70955";"2";"32";"Franz Carl";"Endres";"Die Tragödie Deutschlands";"E. H. Moritz";"Stuttgart";"1925";"";"";"";"";"Endres, Franz Carl: Die Tragödie Deutschlands. Stuttgart: E. H. Moritz 1925."
"70956";"2";"32";"Fritz";"Endres";"Die Verbreitung des Deutschtums über die Erde. Frankfurt a";"Diesterweg";"M.";"1928";"";"";"";"";"Endres, Fritz: Die Verbreitung des Deutschtums über die Erde. Frankfurt a. M.: Diesterweg 1928."
"70957";"2";"32";"Robert";"Endres";"Republikanische Staatsbürgerkunde";"Dt. Verl. f. Jugend u. Volk";"Wien";"1925";"";"";"";"";"Endres, Robert: Republikanische Staatsbürgerkunde. Wien: Dt. Verl. f. Jugend u. Volk 1925."
"70958";"2";"32";"Georg";"Engel";"Die Last";"Union";"Stuttgart";"1922";"";"";"";"";"Engel, Georg: Die Last. Stuttgart: Union 1922."
"70959";"2";"32";"Ludwig";"Engel";"Der Don Juan vom Jungfernstieg";"Graph. Werke";"Leipzig";"1922";"";"";"";"";"Engel, Ludwig: Der Don Juan vom Jungfernstieg. Leipzig: Graph. Werke 1922."
"70960";"2";"32";"Ludwig";"Engel";"Das Liebesnest am Gänsemarkt";"Vogel & Vogel";"Leipzig";"1919";"";"";"";"";"Engel, Ludwig: Das Liebesnest am Gänsemarkt. Leipzig: Vogel & Vogel 1919."
"70961";"2";"32";"Ludwig";"Engel";"Titti, der Backfisch";"Vogel & Vogel";"Leipzig";"1920";"";"";"";"";"Engel, Ludwig: Titti, der Backfisch. Leipzig: Vogel & Vogel 1920."
"70962";"1";"32";"";"";"Engels, Friedrich ~ der Denker und Revolutionär";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1935";"";"";"";"";"Engels, Friedrich ~ der Denker und Revolutionär. Moskau: Verlagsgen. ausländ. Arbeiter 1935."
"70963";"2";"32";"Friedrich";"Engels";"Sämtliche Schriften";"";"";"";"";"";"";"";"Engels, Friedrich: Sämtliche Schriften."
"70964";"2";"32";"Hans";"Engler";"Die berittene Tante";"Richter";"Leipzig";"1927";"";"";"";"";"Engler, Hans: Die berittene Tante. Leipzig: Richter 1927."
"70965";"2";"32";"Paul";"Englisch";"Anrüchiges u. Allzumenschliches";"Püttmann";"Stuttgart";"1928";"";"";"";"";"Englisch, Paul: Anrüchiges u. Allzumenschliches. Stuttgart: Püttmann 1928."
