Stimmart;Adresse;Bezirksnummer;Bezirksname;Wahlbezirk;Wahlbezirksart;"Abgeordneten-
hauswahlkreis";"Bundestags-
wahlkreis";OstWest;Wahlberechtigte insgesamt;Wahlberechtigte A1;Wahlberechtigte A2;Wahlberechtigte A3;Wähler;"darunter
Wähler B1
(bei endgültigem Ergebnis)";Ungültige Stimmen;Gültige Stimmen;SPD;CDU;GRÜNE;DIE LINKE;AfD;PIRATEN;FDP;Tierschutzpartei;Die PARTEI;NPD;FAMILIE;Volksabstimmung;ÖDP;FREIE WÄHLER;DKP;MLPD;SGP;BP;TIERSCHUTZ hier!;Tierschutzallianz;Bündnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;ÖkoLinX;Die Humanisten;PARTEI FÜR DIE TIERE;Gesundheitsforschung;Volt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W201;01;Mitte;201;Urnenwahlbezirk;02;75;O;1 176;886;290;0;485;8;3;482;51;91;109;72;48;5;45;3;19;0;4;1;1;4;4;0;0;0;0;0;0;4;0;0;5;0;0;0;1;0;0;2;2;0;0;0;1;1;2;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W202;01;Mitte;202;Urnenwahlbezirk;02;75;O;1 177;858;319;0;447;6;1;446;53;75;86;74;66;2;30;6;21;0;3;1;3;0;0;1;0;0;0;1;1;1;0;0;4;0;0;0;0;1;0;1;1;2;0;0;1;0;2;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W203;01;Mitte;203;Urnenwahlbezirk;02;75;O;1 070;723;347;0;339;2;3;336;39;44;60;65;40;1;18;4;18;1;0;1;2;2;1;0;0;0;1;0;1;3;0;1;9;0;2;0;0;0;0;1;0;0;0;0;6;1;2;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W204;01;Mitte;204;Urnenwahlbezirk;02;75;O;2 139;1 509;630;0;795;12;4;791;103;150;199;100;54;3;81;7;31;2;0;0;7;2;1;2;0;0;1;1;1;3;0;0;9;0;3;0;0;0;0;3;1;1;2;0;3;1;4;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W205;01;Mitte;205;Urnenwahlbezirk;02;75;O;1 249;979;270;0;510;10;3;507;62;56;123;107;47;4;22;4;31;3;1;0;2;1;0;0;0;0;3;1;1;0;2;3;8;0;2;0;0;1;1;1;1;0;0;2;2;5;3;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W206;01;Mitte;206;Urnenwahlbezirk;02;75;O;1 381;1 034;347;0;532;8;7;525;62;58;133;100;59;5;24;11;21;0;4;1;2;6;4;0;0;0;3;0;1;0;1;0;3;0;2;0;0;0;0;3;0;0;0;5;4;1;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W207;01;Mitte;207;Urnenwahlbezirk;02;75;O;1 136;820;316;0;480;5;4;476;80;46;84;127;40;2;18;2;20;0;3;0;3;3;5;1;0;0;1;0;1;1;2;1;12;0;2;0;0;0;2;2;0;0;0;3;2;0;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W208;01;Mitte;208;Urnenwahlbezirk;02;75;O;925;623;302;0;405;9;3;402;54;30;193;33;13;2;26;2;16;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;9;0;0;0;0;0;1;1;0;0;0;1;1;1;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W209;01;Mitte;209;Urnenwahlbezirk;02;75;O;1 197;882;315;0;585;8;2;583;55;50;229;76;31;2;28;6;42;1;2;0;2;3;0;0;0;0;1;0;0;2;1;0;26;0;1;0;0;1;0;2;0;0;1;2;2;0;0;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W210;01;Mitte;210;Urnenwahlbezirk;02;75;O;1 189;875;314;0;559;5;3;556;62;60;224;49;25;4;35;6;32;3;1;0;2;3;0;0;0;0;0;0;0;0;0;0;15;0;0;1;1;2;2;0;1;1;0;2;0;0;0;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W211;01;Mitte;211;Urnenwahlbezirk;02;75;O;909;736;173;0;414;6;3;411;47;24;137;82;33;1;13;7;26;0;1;0;0;1;2;0;0;0;1;0;0;1;0;0;10;0;3;0;0;0;1;1;0;1;1;2;4;0;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W212;01;Mitte;212;Urnenwahlbezirk;02;75;O;924;684;240;0;443;8;0;443;35;49;158;53;23;4;25;8;28;1;1;0;4;1;2;0;0;0;0;1;0;0;0;0;14;0;1;0;0;0;1;0;2;0;2;3;0;0;1;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W213;01;Mitte;213;Urnenwahlbezirk;02;75;O;638;493;145;0;248;7;3;245;23;22;79;36;15;2;17;3;18;0;0;0;2;2;0;0;0;0;1;0;0;0;1;0;11;0;0;0;0;1;1;0;0;1;0;3;1;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EW;01W214;01;Mitte;214;Urnenwahlbezirk;02;75;O;842;646;196;0;308;3;3;305;40;30;73;53;26;3;26;3;21;0;3;1;7;2;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;1;1;1;0;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
